1	0	240	
1	241	486	
3	0	683	
4	0	463	
5	0	131	
6	7	479	
7	0	90	
8	0	278	
9	26	150	
10	0	450	
11	0	933	
11	934	1467	
13	0	1201	
13	1202	1292	
14	0	412	
14	413	784	
15	0	734	
16	0	127	
16	128	397	
17	0	230	
18	0	127	
18	128	397	
21	0	457	
21	458	1446	
22	0	57	
22	58	257	
23	0	274	
24	0	408	
25	0	32	
25	33	344	
26	0	671	
27	0	416	
28	0	1000	
28	1001	1709	
29	26	192	
30	0	342	
31	0	297	
32	0	306	
33	0	402	
33	403	640	
34	0	434	
35	0	442	
36	0	164	
37	19	118	
38	0	371	
38	372	624	
40	0	376	
41	3	259	
42	0	118	
43	0	361	
43	362	400	
44	25	221	
45	0	207	
45	208	453	
46	0	184	
46	185	263	
47	0	397	
48	0	247	
49	0	470	
50	0	227	
52	0	191	
53	0	1160	
53	1161	1737	
54	0	47	
54	48	222	
55	0	221	
56	0	293	
57	0	180	
58	0	637	
59	0	388	
60	0	402	
61	0	315	
62	0	127	
63	0	663	
64	0	215	
65	0	163	
66	0	215	
67	0	359	
68	0	508	
69	0	113	
70	0	422	
71	0	248	
72	0	150	
73	0	311	
74	0	445	
75	0	3956	
77	0	103	
78	0	331	
79	0	524	
80	0	374	
81	0	401	
82	0	562	
83	0	573	
84	0	485	
85	0	285	
86	0	348	
87	0	123	
88	0	102	
89	0	322	
90	0	146	
91	0	122	
92	0	249	
93	0	426	
94	0	2080	
95	0	269	
96	0	430	
97	0	114	
98	0	430	
99	0	309	
100	0	330	
101	0	197	
102	0	247	
103	0	187	
105	0	1209	
106	0	1359	
107	0	322	
108	0	310	
109	0	503	
110	0	114	
111	0	281	
112	0	396	
113	0	100	
114	0	706	
117	0	838	
118	0	946	
119	0	867	
121	0	237	
122	0	244	
123	0	585	
124	0	558	
125	0	183	
127	0	134	
129	0	144	
130	0	705	
131	0	1067	
132	0	403	
133	0	236	
134	0	440	
135	0	7967	
136	0	361	
137	0	206	
138	0	265	
139	0	257	
140	0	292	
141	0	349	
142	0	104	
143	0	228	
144	0	364	
145	0	523	
146	0	888	
147	0	842	
148	0	376	
149	0	436	
150	0	1209	
152	0	352	
153	0	310	
154	0	259	
155	0	700	
156	0	303	
157	0	468	
